hierarchy	system	code	fsn	version	preferred	acceptable	orphanet_map
disorder	http://snomed.info/sct	SNOMEDCT:40951006	Primary hyperoxaluria, type II (disorder)	20240301	Primary hyperoxaluria, type II	Primary hyperoxaluria type II	ORPHA:93599
disorder	http://snomed.info/sct	SNOMEDCT:40956001	Guillain-Barré syndrome (disorder)	20240301	Guillain-Barré syndrome	Landry-Guillain-Barré syndrome	ORPHA:2103
disorder	http://snomed.info/sct	SNOMEDCT:41013004	Argininosuccinate lyase deficiency (disorder)	20240301	Argininosuccinate lyase deficiency	ASL-gene related argininosuccinate lyase deficiency	ORPHA:23
disorder	http://snomed.info/sct	SNOMEDCT:41040004	Complete trisomy 21 syndrome (disorder)	20240301	Complete trisomy 21 syndrome	Down syndrome	ORPHA:870
disorder	http://snomed.info/sct	SNOMEDCT:41069008	Langer-Giedion syndrome (disorder)	20240301	Langer-Giedion syndrome	Trichorhinophalangeal syndrome with exostosis	ORPHA:502
disorder	http://snomed.info/sct	SNOMEDCT:41142009	Globoid cell leukodystrophy, late-onset (disorder)	20240301	Globoid cell leukodystrophy, late-onset	Late onset Krabbe disease	ORPHA:206443
disorder	http://snomed.info/sct	SNOMEDCT:41283003	Cerebro-oculo-facio-skeletal syndrome (disorder)	20240301	Cerebro-oculo-facio-skeletal syndrome	CAMFAK - Cerebro-oculo-facio-skeletal syndrome	ORPHA:1466
disorder	http://snomed.info/sct	SNOMEDCT:41495000	Disseminated superficial actinic porokeratosis (disorder)	20240301	Disseminated superficial actinic porokeratosis	Actinic porokeratosis	ORPHA:79152
disorder	http://snomed.info/sct	SNOMEDCT:41514002	Congenital supravalvular mitral stenosis (disorder)	20240301	Congenital supravalvular mitral stenosis		ORPHA:99059
disorder	http://snomed.info/sct	SNOMEDCT:41545003	Whipple's disease (disorder)	20240301	Whipple's disease	Intestinal Whipple's disease	ORPHA:3452
disorder	http://snomed.info/sct	SNOMEDCT:41572006	Mucopolysaccharidosis III-A (disorder)	20240301	Mucopolysaccharidosis, MPS-III-A	Sanfilippo syndrome A	ORPHA:79269
disorder	http://snomed.info/sct	SNOMEDCT:41574007	Paramyotonia congenita (disorder)	20240301	Paramyotonia congenita	Eulenburg syndrome	ORPHA:684
disorder	http://snomed.info/sct	SNOMEDCT:41656005	Leri's pleonosteosis syndrome (disorder)	20240301	Leri's pleonosteosis syndrome	Leri pleonosteosis syndrome	ORPHA:2900
disorder	http://snomed.info/sct	SNOMEDCT:41788008	Hereditary factor IX deficiency disease (disorder)	20240301	Hereditary factor IX deficiency disease	Sex-linked factor IX deficiency disease	ORPHA:98879
disorder	http://snomed.info/sct	SNOMEDCT:41797007	5,10-Methylenetetrahydrofolate reductase deficiency (disorder)	20240301	5,10-Methylenetetrahydrofolate reductase deficiency	Methylenetetrahydrofolate reductase deficiency	ORPHA:395
disorder	http://snomed.info/sct	SNOMEDCT:41799005	Hereditary retinal dystrophy (disorder)	20240301	Hereditary retinal dystrophy		ORPHA:71862
disorder	http://snomed.info/sct	SNOMEDCT:41841004	Sideroblastic anemia (disorder)	20240301	Sideroblastic anaemia	Sideroachrestic anemia	ORPHA:1047
disorder	http://snomed.info/sct	SNOMEDCT:41864002	Autoimmune polyendocrinopathy (disorder)	20240301	Autoimmune polyendocrinopathy	APS - autoimmune polyglandular syndrome	ORPHA:282196
disorder	http://snomed.info/sct	SNOMEDCT:41878001	Symbrachydactyly (disorder)	20240301	Symbrachydactyly		ORPHA:1570
disorder	http://snomed.info/sct	SNOMEDCT:42012007	Neuronal ceroid lipofuscinosis (disorder)	20240301	Neuronal ceroid lipofuscinosis	Cerebromacular degeneration	ORPHA:216
disorder	http://snomed.info/sct	SNOMEDCT:42094007	Sporotrichosis (disorder)	20240301	Sporotrichosis	Infection by Sporothrix schenkii	ORPHA:826
disorder	http://snomed.info/sct	SNOMEDCT:42183005	Pseudohypoparathyroidism type II (disorder)	20240301	Pseudohypoparathyroidism type II	Pseudohypoparathyroidism type 2	ORPHA:94090
disorder	http://snomed.info/sct	SNOMEDCT:42295001	Familial amyloid polyneuropathy (disorder)	20240301	Familial amyloid polyneuropathy	Familial polyneuropathic amyloidosis	ORPHA:85447
disorder	http://snomed.info/sct	SNOMEDCT:42376006	Occipital encephalocele (disorder)	20240301	Occipital encephalocele		ORPHA:268823
disorder	http://snomed.info/sct	SNOMEDCT:42386007	Cryptococcosis (disorder)	20240301	Cryptococcosis	European cryptococcosis	ORPHA:1546
disorder	http://snomed.info/sct	SNOMEDCT:42432003	Oto-palato-digital syndrome, type II (disorder)	20240301	Oto-palato-digital syndrome, type II	Otopalatodigital syndrome type 2	ORPHA:90652
disorder	http://snomed.info/sct	SNOMEDCT:42725006	Achondrogenesis, type IA (disorder)	20240301	Achondrogenesis, type IA		ORPHA:93299
disorder	http://snomed.info/sct	SNOMEDCT:42779002	Reducing-body myopathy (disorder)	20240301	Reducing-body myopathy		ORPHA:97239
disorder	http://snomed.info/sct	SNOMEDCT:42808000	Longitudinal deficiency of tibia (disorder)	20240301	Longitudinal deficiency of tibia	Longitudinal reduction defect of tibia	ORPHA:93322
disorder	http://snomed.info/sct	SNOMEDCT:42829009	Pili multigemini (disorder)	20240301	Pili multigemini		ORPHA:79492
disorder	http://snomed.info/sct	SNOMEDCT:42986003	Charcot-Marie-Tooth disease, type IB (disorder)	20240301	Charcot-Marie-Tooth disease, type IB		ORPHA:101082
disorder	http://snomed.info/sct	SNOMEDCT:43019009	Nelson syndrome (disorder)	20240301	Nelson syndrome		ORPHA:199244
disorder	http://snomed.info/sct	SNOMEDCT:43152001	Central core disease (disorder)	20240301	Central core disease	Central core myopathy	ORPHA:597
disorder	http://snomed.info/sct	SNOMEDCT:43217004	Hereditary factor XII deficiency disease (disorder)	20240301	Hereditary factor XII deficiency disease	Hereditary Hageman factor deficiency disease	ORPHA:330
disorder	http://snomed.info/sct	SNOMEDCT:43226001	Sarcotubular myopathy (disorder)	20240301	Sarcotubular myopathy		ORPHA:1878
disorder	http://snomed.info/sct	SNOMEDCT:43248007	Penta X syndrome (disorder)	20240301	Penta X syndrome	Five X syndrome	ORPHA:11
disorder	http://snomed.info/sct	SNOMEDCT:43363007	Posterior uveitis (disorder)	20240301	Posterior uveitis		ORPHA:280892
disorder	http://snomed.info/sct	SNOMEDCT:43489008	Congo-Crimean hemorrhagic fever (disorder)	20240301	Crimean-Congo hemorrhagic fever	Viral haemorrhagic fever, Crimean-Congo	ORPHA:99827
disorder	http://snomed.info/sct	SNOMEDCT:43763009	Glossopharyngeal neuralgia (disorder)	20240301	Glossopharyngeal neuralgia		ORPHA:221098
disorder	http://snomed.info/sct	SNOMEDCT:43876007	Situs inversus viscerum (disorder)	20240301	Situs inversus viscerum	Situs inversus	ORPHA:101063
disorder	http://snomed.info/sct	SNOMEDCT:43916004	Mucopolysaccharidosis type VII (disorder)	20240301	Mucopolysaccharidosis, MPS-VII	Beta-glucuronidase deficiency	ORPHA:584
disorder	http://snomed.info/sct	SNOMEDCT:43929004	Smith-Lemli-Opitz syndrome (disorder)	20240301	Smith-Lemli-Opitz syndrome	7-Dehydrocholesterol reductase deficiency	ORPHA:818
disorder	http://snomed.info/sct	SNOMEDCT:43941006	Pseudohypoaldosteronism, type 1 (disorder)	20240301	Pseudohypoaldosteronism, type 1		ORPHA:756
disorder	http://snomed.info/sct	SNOMEDCT:44145005	Benign Rolandic epilepsy (disorder)	20240301	Benign Rolandic epilepsy	Centrotemporal epilepsy	ORPHA:1945
disorder	http://snomed.info/sct	SNOMEDCT:44176004	Disorder of histidine metabolism (disorder)	20240301	Disorder of histidine metabolism		ORPHA:79181
disorder	http://snomed.info/sct	SNOMEDCT:44250009	Infection caused by Loa loa (disorder)	20240301	Infection by Loa loa	Infection caused by Loa loa	ORPHA:2404
disorder	http://snomed.info/sct	SNOMEDCT:44274007	Lymphoid interstitial pneumonia (disorder)	20240301	Lymphoid interstitial pneumonia	LIP - Lymphoid interstitial pneumonitis	ORPHA:79128
disorder	http://snomed.info/sct	SNOMEDCT:44295002	Congenital coloboma of optic disc (disorder)	20240301	Congenital coloboma of optic disc	Congenital optic disc coloboma	ORPHA:98947
disorder	http://snomed.info/sct	SNOMEDCT:44359008	Metachromatic leukodystrophy, juvenile type (disorder)	20240301	Metachromatic leukodystrophy, juvenile type	Scholz-Bielschowsky-Henneberg diffuse cerebral sclerosis	ORPHA:309263
disorder	http://snomed.info/sct	SNOMEDCT:44423001	Early myoclonic encephalopathy (disorder)	20240301	Early myoclonic encephalopathy	Symptomatic early myoclonic encephalopathy	ORPHA:1935
disorder	http://snomed.info/sct	SNOMEDCT:44444001	Longitudinal deficiency of ulna (disorder)	20240301	Longitudinal deficiency of ulna	Longitudinal reduction defect of ulna	ORPHA:93320
disorder	http://snomed.info/sct	SNOMEDCT:44509000	Linear lichen planus (disorder)	20240301	Linear lichen planus	Lichen planus linearis	ORPHA:254379
disorder	http://snomed.info/sct	SNOMEDCT:44553005	Dubin-Johnson syndrome (disorder)	20240301	Dubin-Johnson syndrome	Icterus-hepatic pigmentation syndrome	ORPHA:234
disorder	http://snomed.info/sct	SNOMEDCT:44600005	Xeroderma pigmentosum (disorder)	20240301	Xeroderma pigmentosum	XP - Xeroderma pigmentosum	ORPHA:910
disorder	http://snomed.info/sct	SNOMEDCT:44697002	Melorheostosis (disorder)	20240301	Melorheostosis	Rheostosis	ORPHA:2485
disorder	http://snomed.info/sct	SNOMEDCT:44917000	Hymenolepiasis (disorder)	20240301	Hymenolepiasis	Hymenolepiosis	ORPHA:401
disorder	http://snomed.info/sct	SNOMEDCT:44940001	Adenosine deaminase deficiency (disorder)	20240301	Adenosine deaminase deficiency	ADA - Adenosine aminohydrolase deficiency	ORPHA:277
disorder	http://snomed.info/sct	SNOMEDCT:45042004	Acute fulminating viral hepatitis (disorder)	20240301	Acute fulminating viral hepatitis		ORPHA:35063
disorder	http://snomed.info/sct	SNOMEDCT:45116002	Sepiapterin reductase deficiency (disorder)	20240301	Sepiapterin reductase deficiency	7,8-Dihydrobiopterin synthetase deficiency	ORPHA:70594
disorder	http://snomed.info/sct	SNOMEDCT:45142002	Congenital pulmonary lymphangiectasis (disorder)	20240301	Congenital pulmonary lymphangiectasis		ORPHA:2414
disorder	http://snomed.info/sct	SNOMEDCT:45369008	Arginine vasopressin deficiency (disorder)	20240301	Vasopressin deficiency	Pituitary diabetes insipidus	ORPHA:178029
disorder	http://snomed.info/sct	SNOMEDCT:45414006	Glucocorticoid deficiency with achalasia (disorder)	20240301	Glucocorticoid deficiency with achalasia	Alacrimia-achalasia-addisonianism	ORPHA:869
disorder	http://snomed.info/sct	SNOMEDCT:45503006	Common ventricle (disorder)	20240301	Common ventricle	Single ventricle	ORPHA:1464
disorder	http://snomed.info/sct	SNOMEDCT:45582004	Rubinstein-Taybi syndrome (disorder)	20240301	Rubinstein-Taybi syndrome		ORPHA:783
disorder	http://snomed.info/sct	SNOMEDCT:45639009	Hereditary cerebral amyloid angiopathy, Icelandic type (disorder)	20240301	Hereditary cerebral amyloid angiopathy, Icelandic type	Hereditary cystatin C amyloid angiopathy	ORPHA:100008
disorder	http://snomed.info/sct	SNOMEDCT:45853006	Roussy-Lévy syndrome (disorder)	20240301	Roussy-Lévy syndrome	Roussy-Levy syndrome	ORPHA:3115
disorder	http://snomed.info/sct	SNOMEDCT:45894003	Medionecrosis of aorta (disorder)	20240301	Medionecrosis of aorta	Erdheim's cystic medial necrosis	ORPHA:229
disorder	http://snomed.info/sct	SNOMEDCT:46041001	Maffucci syndrome (disorder)	20240301	Maffucci syndrome	Haemangiomata with dyschondroplasia	ORPHA:163634
disorder	http://snomed.info/sct	SNOMEDCT:46619002	Congenital heart block (disorder)	20240301	Congenital heart block		ORPHA:60041
disorder	http://snomed.info/sct	SNOMEDCT:46659004	Von Hippel-Lindau syndrome (disorder)	20240301	Von Hippel-Lindau syndrome	Familial cerebello-retinal angiomatosis	ORPHA:892
disorder	http://snomed.info/sct	SNOMEDCT:46683007	Pyruvate dehydrogenase complex deficiency (disorder)	20240301	Pyruvate dehydrogenase complex deficiency	Ataxia with lactic acidosis I	ORPHA:765
disorder	http://snomed.info/sct	SNOMEDCT:46724008	Polyglandular activity in multiple endocrine adenomatosis (disorder)	20240301	Polyglandular activity in multiple endocrine adenomatosis	Multiple endocrine neoplasia	ORPHA:276161
disorder	http://snomed.info/sct	SNOMEDCT:46775006	Respiratory distress syndrome in the newborn (disorder)	20240301	Respiratory distress syndrome in the newborn	Cardiorespiratory distress syndrome of newborn	ORPHA:70587
disorder	http://snomed.info/sct	SNOMEDCT:46804001	Severe X-linked myotubular myopathy (disorder)	20240301	Severe X-linked myotubular myopathy	X-linked centronuclear myopathy	ORPHA:596
disorder	http://snomed.info/sct	SNOMEDCT:46826000	Rheumatic chorea (disorder)	20240301	Rheumatic chorea	Sydenham's chorea	ORPHA:306731
disorder	http://snomed.info/sct	SNOMEDCT:47000000	Acute transverse myelitis (disorder)	20240301	Acute transverse myelitis		ORPHA:139417
disorder	http://snomed.info/sct	SNOMEDCT:47017007	Ring chromosome 1 syndrome (disorder)	20240301	Ring chromosome 1 syndrome		ORPHA:1437
disorder	http://snomed.info/sct	SNOMEDCT:47024008	Sickle cell-hemoglobin E disease (disorder)	20240301	Sickle cell-hemoglobin E disease	Haemoglobin S-E disease	ORPHA:251375
disorder	http://snomed.info/sct	SNOMEDCT:47032000	Congenital hydrocephalus (disorder)	20240301	Congenital hydrocephalus	Primary hydrocephalus	ORPHA:2185
disorder	http://snomed.info/sct	SNOMEDCT:47054003	Septate vagina (disorder)	20240301	Septate vagina	Congenital vaginal septum	ORPHA:180154
disorder	http://snomed.info/sct	SNOMEDCT:47070001	Congenital web of larynx (disorder)	20240301	Congenital web of larynx	Congenital laryngeal web	ORPHA:2374
disorder	http://snomed.info/sct	SNOMEDCT:47270006	Hypercortisolism (disorder)	20240301	Hypercortisolism	Itsenko disease	ORPHA:553
disorder	http://snomed.info/sct	SNOMEDCT:47434006	Waardenburg syndrome (disorder)	20240301	Waardenburg syndrome	Waardenburg's syndrome	ORPHA:3440
disorder	http://snomed.info/sct	SNOMEDCT:47444008	Lucey-Driscoll syndrome (disorder)	20240301	Lucey-Driscoll syndrome	Transient familial neonatal hyperbilirubinaemia	ORPHA:2312
disorder	http://snomed.info/sct	SNOMEDCT:47507006	Rieger syndrome (disorder)	20240301	Rieger syndrome	Rieger's syndrome	ORPHA:91483
disorder	http://snomed.info/sct	SNOMEDCT:47523006	Western equine encephalitis (disorder)	20240301	Western equine encephalitis	WEE - western equine encephalitis	ORPHA:83593
disorder	http://snomed.info/sct	SNOMEDCT:47535005	Coloboma, heart defects, choanal atresia, retardation of growth and development, genitourinary problems, ear abnormalities syndrome (disorder)	20240301	CHARGE syndrome	Coloboma, heart defects, choanal atresia, retardation of growth and development, genitourinary problems, ear abnormalities syndrome	ORPHA:138
disorder	http://snomed.info/sct	SNOMEDCT:47683004	Metachromatic leukodystrophy, late infantile type (disorder)	20240301	Metachromatic leucodystrophy, late infantile type	Late infantile metachromatic leucodystrophy	ORPHA:309256
disorder	http://snomed.info/sct	SNOMEDCT:47761007	Brill-Zinsser disease (disorder)	20240301	Brill-Zinsser disease	Recrudescent typhus	ORPHA:99990
disorder	http://snomed.info/sct	SNOMEDCT:48069004	Acrocephaly (disorder)	20240301	Acrocephaly	Tower skull	ORPHA:63440
disorder	http://snomed.info/sct	SNOMEDCT:48113006	Omsk hemorrhagic fever (disorder)	20240301	Omsk haemorrhagic fever	OHF - Omsk hemorrhagic fever	ORPHA:319266
disorder	http://snomed.info/sct	SNOMEDCT:48236007	Asherman syndrome (disorder)	20240301	Asherman syndrome	Traumatic intrauterine synechiae syndrome	ORPHA:137686
disorder	http://snomed.info/sct	SNOMEDCT:48250002	Gaisbock's syndrome (disorder)	20240301	Gaisbock's syndrome	Polycythemia hypertonica	ORPHA:90041
disorder	http://snomed.info/sct	SNOMEDCT:48543002	Nevus of Ito (disorder)	20240301	Nevus of Ito	Ito's nevus	ORPHA:263432
disorder	http://snomed.info/sct	SNOMEDCT:48553001	Hemoglobin H disease (disorder)	20240301	Haemoglobin H disease		ORPHA:93616
disorder	http://snomed.info/sct	SNOMEDCT:48611009	Darier disease (disorder)	20240301	Darier disease	Darier's disease	ORPHA:218
disorder	http://snomed.info/sct	SNOMEDCT:48718006	Roberts-SC phocomelia syndrome (disorder)	20240301	Roberts-SC phocomelia syndrome	Robert's syndrome	ORPHA:3103
disorder	http://snomed.info/sct	SNOMEDCT:48976006	Prekallikrein deficiency (disorder)	20240301	Prekallikrein deficiency	Fletcher factor deficiency	ORPHA:749
disorder	http://snomed.info/sct	SNOMEDCT:48983004	X chromosome-linked sideroblastic anemia (disorder)	20240301	X chromosome-linked sideroblastic anemia	X-linked sideroblastic anemia	ORPHA:75563
disorder	http://snomed.info/sct	SNOMEDCT:49013001	17 alpha-Hydroxyprogesterone aldolase deficiency (disorder)	20240301	17 alpha-Hydroxyprogesterone aldolase deficiency	Defective synthesis of 17-20 desmolase	ORPHA:443087
disorder	http://snomed.info/sct	SNOMEDCT:49024004	4p partial trisomy syndrome (disorder)	20240301	4p partial trisomy syndrome	Trisomy for short arm of chromosome 4	ORPHA:1738
disorder	http://snomed.info/sct	SNOMEDCT:49120005	Retroperitoneal fibrosis (disorder)	20240301	Retroperitoneal fibrosis	RPF - Retroperitoneal fibrosis	ORPHA:49041
disorder	http://snomed.info/sct	SNOMEDCT:49292002	Familial partial lipodystrophy (disorder)	20240301	Familial partial lipodystrophy	Familial lipodystrophy of limbs AND/OR trunk	ORPHA:98306
disorder	http://snomed.info/sct	SNOMEDCT:49420001	Pemphigus vulgaris (disorder)	20240301	Pemphigus vulgaris	PV - Pemphigus vulgaris	ORPHA:704
disorder	http://snomed.info/sct	SNOMEDCT:49428008	Elastosis perforans serpiginosa (disorder)	20240301	Elastosis perforans serpiginosa	Elastosis perforans	ORPHA:79148
disorder	http://snomed.info/sct	SNOMEDCT:49434001	Jamaican vomiting sickness (disorder)	20240301	Jamaican vomiting sickness	Ackee poisoning	ORPHA:73423
disorder	http://snomed.info/sct	SNOMEDCT:49465005	Angioma serpiginosum (disorder)	20240301	Angioma serpiginosum	Angioma serpiginosum of skin	ORPHA:95429
disorder	http://snomed.info/sct	SNOMEDCT:49692006	Schilder's disease (disorder)	20240301	Schilder's disease	Encephalitis periaxialis diffusa	ORPHA:59298
disorder	http://snomed.info/sct	SNOMEDCT:49748000	Succinate-semialdehyde dehydrogenase deficiency (disorder)	20240301	SSADH (succinic semialdehyde dehydrogenase) deficiency	Succinic semialdehyde dehydrogenase deficiency	ORPHA:22
disorder	http://snomed.info/sct	SNOMEDCT:49762007	Hereditary factor XI deficiency disease (disorder)	20240301	Hereditary factor XI deficiency disease	Congenital factor XI deficiency disease	ORPHA:329
disorder	http://snomed.info/sct	SNOMEDCT:49817004	Neonatal diabetes mellitus (disorder)	20240301	Neonatal diabetes mellitus		ORPHA:224
disorder	http://snomed.info/sct	SNOMEDCT:49982000	Multifocal atrial tachycardia (disorder)	20240301	Multifocal atrial tachycardia		ORPHA:3282
disorder	http://snomed.info/sct	SNOMEDCT:50123005	Beals auriculo-osteodysplasia syndrome (disorder)	20240301	Beals auriculo-osteodysplasia syndrome		ORPHA:114
disorder	http://snomed.info/sct	SNOMEDCT:50189006	Hereditary factor XIII deficiency disease (disorder)	20240301	Hereditary factor XIII deficiency disease	Laki-Lorand factor deficiency disease	ORPHA:331
disorder	http://snomed.info/sct	SNOMEDCT:50581000	Goodpasture's syndrome (disorder)	20240301	Goodpasture's syndrome	Pulmonary hemorrhage with glomerulonephritis	ORPHA:375
disorder	http://snomed.info/sct	SNOMEDCT:50658006	Testosterone 17-beta-dehydrogenase deficiency (disorder)	20240301	Testosterone 17-beta-dehydrogenase deficiency	17-KSR deficiency	ORPHA:752
disorder	http://snomed.info/sct	SNOMEDCT:50749006	Double Y syndrome (disorder)	20240301	Double Y syndrome	XYY syndrome	ORPHA:8
disorder	http://snomed.info/sct	SNOMEDCT:50855007	Juvenile hemochromatosis (disorder)	20240301	Juvenile hemochromatosis	Haemochromatosis type 2	ORPHA:79230
disorder	http://snomed.info/sct	SNOMEDCT:50866000	Childhood absence epilepsy (disorder)	20240301	Childhood absence epilepsy	CAE - childhood absence epilepsy	ORPHA:64280
disorder	http://snomed.info/sct	SNOMEDCT:50869007	Periodontal Ehlers-Danlos syndrome (disorder)	20240301	Periodontal Ehlers-Danlos syndrome	Ehlers-Danlos syndrome type VIII	ORPHA:75392
disorder	http://snomed.info/sct	SNOMEDCT:50926003	Job's syndrome (disorder)	20240301	Hyperimmunoglobulin E syndrome	Job syndrome	ORPHA:2314
disorder	http://snomed.info/sct	SNOMEDCT:50967008	Gangliosidosis (disorder)	20240301	Gangliosidosis	Ganglioside storage disease	ORPHA:309144
disorder	http://snomed.info/sct	SNOMEDCT:51022005	Erythropoietic protoporphyria (disorder)	20240301	Erythropoietic protoporphyria	EPP - erythropoietic protoporphyria	ORPHA:79278
disorder	http://snomed.info/sct	SNOMEDCT:51053007	Hemoglobin C disease (disorder)	20240301	Hemoglobin C disease	Hemoglobin C-C disease	ORPHA:2132
disorder	http://snomed.info/sct	SNOMEDCT:51118003	Congenital atresia of duodenum (disorder)	20240301	Congenital atresia of duodenum	Duodenal atresia	ORPHA:1203
disorder	http://snomed.info/sct	SNOMEDCT:51169003	Pneumococcal meningitis (disorder)	20240301	Pneumococcal meningitis		ORPHA:55655
disorder	http://snomed.info/sct	SNOMEDCT:51247001	Vibratory urticaria (disorder)	20240301	Vibratory urticaria		ORPHA:493342
disorder	http://snomed.info/sct	SNOMEDCT:51409009	Asymmetric crying face association (disorder)	20240301	Asymmetric crying face association	Asymmetric crying facies	ORPHA:1166
disorder	http://snomed.info/sct	SNOMEDCT:51442005	Congenital atresia of aortic valve (disorder)	20240301	Congenital atresia of aortic valve	Imperforate aortic valve	ORPHA:95448
disorder	http://snomed.info/sct	SNOMEDCT:51485001	Congenital coloboma of iris (disorder)	20240301	Congenital coloboma of iris	Notched iris	ORPHA:98944
disorder	http://snomed.info/sct	SNOMEDCT:51500006	Complete trisomy 18 syndrome (disorder)	20240301	Complete trisomy 18 syndrome	Edwards syndrome	ORPHA:3380
disorder	http://snomed.info/sct	SNOMEDCT:51523009	Congenital laryngocele (disorder)	20240301	Congenital laryngocele	Laryngocele	ORPHA:2372
disorder	http://snomed.info/sct	SNOMEDCT:51626007	Werner syndrome (disorder)	20240301	Werner syndrome	Pangeria	ORPHA:902
disorder	http://snomed.info/sct	SNOMEDCT:51720005	Gray platelet syndrome (disorder)	20240301	Gray platelet syndrome	Deficient alpha granule syndrome	ORPHA:721
disorder	http://snomed.info/sct	SNOMEDCT:51780007	Cerebro-costo-mandibular syndrome (disorder)	20240301	Cerebro-costo-mandibular syndrome	Rib gap defects with micrognathia	ORPHA:1393
disorder	http://snomed.info/sct	SNOMEDCT:51952004	Spondyloepiphyseal dysplasia tarda (disorder)	20240301	Spondyloepiphyseal dysplasia tarda	SEDT - Spondyloepiphyseal dysplasia tarda	ORPHA:93284
disorder	http://snomed.info/sct	SNOMEDCT:52029003	Primary familial dilated cardiomyopathy (disorder)	20240301	Primary familial dilated cardiomyopathy	Familial dilated cardiomyopathy	ORPHA:154
disorder	http://snomed.info/sct	SNOMEDCT:52138004	Streptobacillary fever (disorder)	20240301	Streptobacillary fever	Streptobacillary rat-bite fever	ORPHA:99905
disorder	http://snomed.info/sct	SNOMEDCT:52165006	Niemann-Pick disease, type A (disorder)	20240301	Niemann-Pick disease, type A	Niemann-Pick disease type A	ORPHA:77292
disorder	http://snomed.info/sct	SNOMEDCT:52186006	Dysmorphic sialidosis (disorder)	20240301	Dysmorphic sialidosis	Sialidosis, type 2	ORPHA:87876
disorder	http://snomed.info/sct	SNOMEDCT:52212006	Hereditary nonspherocytic hemolytic anemia due to glutathione reductase deficiency (disorder)	20240301	HNSHA due to glutathione reductase deficiency	Hereditary nonspherocytic hemolytic anemia due to glutathione reductase deficiency	ORPHA:90030
disorder	http://snomed.info/sct	SNOMEDCT:52298009	Linear sebaceous nevus sequence (disorder)	20240301	Linear sebaceous naevus sequence	Linear sebaceous naevus	ORPHA:2612
disorder	http://snomed.info/sct	SNOMEDCT:52403007	Thromboangiitis obliterans (disorder)	20240301	Thromboangiitis obliterans	Buerger's disease	ORPHA:36258
disorder	http://snomed.info/sct	SNOMEDCT:52413004	Hereditary nonspherocytic hemolytic anemia due to glucose phosphate isomerase deficiency (disorder)	20240301	HNSHA due to glucose phosphate isomerase deficiency	Hereditary nonspherocytic hemolytic anemia due to glucose phosphate isomerase deficiency	ORPHA:712
disorder	http://snomed.info/sct	SNOMEDCT:52616002	Freeman-Sheldon syndrome (disorder)	20240301	Freeman-Sheldon syndrome	Distal arthrogryposis type 2A	ORPHA:2053
disorder	http://snomed.info/sct	SNOMEDCT:52636001	Actinic reticuloid (disorder)	20240301	Actinic reticuloid	CAD - Chronic actinic dermatitis	ORPHA:330064
disorder	http://snomed.info/sct	SNOMEDCT:52713000	Infantile neuroaxonal dystrophy (disorder)	20240301	Infantile neuroaxonal dystrophy	Spastic amaurotic axonal idiocy	ORPHA:35069
disorder	http://snomed.info/sct	SNOMEDCT:52868006	Oral-facial-digital syndrome (disorder)	20240301	Oral-facial-digital syndrome	Orofacial-digital syndrome	ORPHA:140997
disorder	http://snomed.info/sct	SNOMEDCT:52947006	Japanese encephalitis virus disease (disorder)	20240301	Japanese encephalitis virus disease	Japanese B encephalitis	ORPHA:79139
disorder	http://snomed.info/sct	SNOMEDCT:52951008	Congenital dyserythropoietic anemia (disorder)	20240301	Congenital dyserythropoietic anemia	CDA - congenital dyserythropoietic anaemia	ORPHA:85
disorder	http://snomed.info/sct	SNOMEDCT:52985009	Chylous ascites (disorder)	20240301	Chylous ascites	Chyloperitoneum	ORPHA:1160
disorder	http://snomed.info/sct	SNOMEDCT:53132006	Zollinger-Ellison syndrome (disorder)	20240301	Zollinger-Ellison syndrome	Excessive gastrin secretion	ORPHA:913
disorder	http://snomed.info/sct	SNOMEDCT:53593008	Folliculitis decalvans (disorder)	20240301	Folliculitis decalvans	Folliculitis depilans	ORPHA:346
disorder	http://snomed.info/sct	SNOMEDCT:53599007	Testicular regression syndrome (disorder)	20240301	Testicular regression syndrome	Vanishing testes syndrome	ORPHA:983
disorder	http://snomed.info/sct	SNOMEDCT:53748002	Congenital junctional epidermolysis bullosa-pyloric atresia syndrome (disorder)	20240301	Congenital junctional epidermolysis bullosa-pyloric atresia syndrome	Epidermolysis bullosa letalis with pyloric atresia	ORPHA:79403
disorder	http://snomed.info/sct	SNOMEDCT:53926002	Plastic bronchitis (disorder)	20240301	Plastic bronchitis	Croupous bronchitis	ORPHA:439881
disorder	http://snomed.info/sct	SNOMEDCT:53974002	Kniest dysplasia (disorder)	20240301	Kniest dysplasia	Kniest chondrodystrophy	ORPHA:485
disorder	http://snomed.info/sct	SNOMEDCT:54008006	Sternum bifidum (disorder)	20240301	Sternum bifidum	Bifid sternum	ORPHA:2017
disorder	http://snomed.info/sct	SNOMEDCT:54036001	Oto-palato-digital syndrome, type I (disorder)	20240301	Oto-palato-digital syndrome, type I	Taybi syndrome	ORPHA:90650
disorder	http://snomed.info/sct	SNOMEDCT:54064006	Classical maple syrup urine disease (disorder)	20240301	Classical maple syrup urine disease	Severe branched chain ketoacid dehydrogenase deficiency	ORPHA:268145
disorder	http://snomed.info/sct	SNOMEDCT:54122009	Eales' disease (disorder)	20240301	Eales' disease		ORPHA:40923
disorder	http://snomed.info/sct	SNOMEDCT:54160000	Congenital aneurysm of sinus of Valsalva (disorder)	20240301	Congenital aneurysm of sinus of Valsalva	Sinus of Valsalva aneurysm	ORPHA:1054
